district,total,%,No qualifications,%,Highest level of qualification: Level 1 qualifications,%,Highest level of qualification: Level 2 qualifications,%,Highest level of qualification: Apprenticeship,%,Highest level of qualification: Level 3 qualifications,%,Highest level of qualification: Level 4 qualifications and above,%,Highest level of qualification: Other qualifications,%,Schoolchildren and full-time students: Age 16 to 17,%,Schoolchildren and full-time students: Age 18 and over,%,Full-time students: Age 18 to 74: Economically active: In employment,%,Full-time students: Age 18 to 74: Economically active: Unemployed,%,Full-time students: Age 18 to 74: Economically inactive,%
Anglesey,57890,100,13991,24.2,7342,12.7,9406,16.2,2739,4.7,6887,11.9,15098,26.1,2427,4.2,1500,2.6,1941,3.4,732,1.3,107,0.2,1091,1.9
Gwynedd,100923,100,23365,23.2,11889,11.8,16238,16.1,3783,3.7,14638,14.5,26673,26.4,4337,4.3,2462,2.4,8961,8.9,2321,2.3,715,0.7,5903,5.8
Conwy,96102,100,24577,25.6,12553,13.1,15472,16.1,3786,3.9,10841,11.3,24473,25.5,4400,4.6,2546,2.6,2970,3.1,1290,1.3,171,0.2,1479,1.5
Denbighshire,76781,100,19540,25.4,10723,14,12888,16.8,2929,3.8,8762,11.4,18615,24.2,3324,4.3,2260,2.9,2624,3.4,940,1.2,229,0.3,1441,1.9
Flintshire,123862,100,29116,23.5,19076,15.4,21398,17.3,6031,4.9,15098,12.2,27791,22.4,5352,4.3,3616,2.9,3595,2.9,1674,1.4,256,0.2,1650,1.3
Wrexham,109026,100,29094,26.7,15195,13.9,17584,16.1,4292,3.9,12557,11.5,24851,22.8,5453,5,2776,2.5,4685,4.3,1909,1.8,442,0.4,2319,2.1
Powys,110083,100,27273,24.8,13850,12.6,18040,16.4,4223,3.8,12714,11.5,28991,26.3,4992,4.5,3062,2.8,2366,2.1,999,0.9,112,0.1,1244,1.1
Ceredigion,64692,100,12824,19.8,6811,10.5,9676,15,2094,3.2,12451,19.2,18064,27.9,2772,4.3,1425,2.2,9893,15.3,2155,3.3,1087,1.7,6628,10.2
Pembrokeshire,100362,100,24668,24.6,13695,13.6,16858,16.8,4323,4.3,11812,11.8,24849,24.8,4157,4.1,2726,2.7,2407,2.4,1025,1,138,0.1,1228,1.2
Carmarthenshire,150763,100,40334,26.8,19683,13.1,24748,16.4,6514,4.3,16832,11.2,36036,23.9,6616,4.4,4059,2.7,5025,3.3,1930,1.3,336,0.2,2736,1.8
