"district","total","%","Day-to-day activities limited a lot","%","Day-to-day activities limited a little","%","Day-to-day activities not limited","%","Day-to-day activities limited a lot: Age 16 to 64","%","Day-to-day activities limited a little: Age 16 to 64","%","Day-to-day activities not limited: Age 16 to 64","%","Very good health","%","Good health","%","Fair health","%","Bad health","%","Very bad health","%","Provides no unpaid care","%","Provides 1 to 19 hours unpaid care a week","%","Provides 20 to 49 hours unpaid care a week","%","Provides 50 or more hours unpaid care a week","%"
"Sevenoaks",114893,100.0,7219,6.3,9872,8.6,97802,85.1,2564,2.2,4182,3.6,64068,55.8,58796,51.2,38344,33.4,13180,11.5,3569,3.1,1004,0.9,102948,89.6,8501,7.4,1190,1.0,2254,2.0
"Shepway",107969,100.0,10753,10.0,11965,11.1,85251,79.0,4517,4.2,5458,5.1,56370,52.2,45577,42.2,38999,36.1,16465,15.2,5321,4.9,1607,1.5,95663,88.6,7465,6.9,1663,1.5,3178,2.9
"Swale",135835,100.0,11742,8.6,13580,10.0,110513,81.4,5357,3.9,6728,5.0,73831,54.4,60198,44.3,48719,35.9,19118,14.1,6008,4.4,1792,1.3,121577,89.5,8351,6.1,1897,1.4,4010,3.0
"Thanet",134186,100.0,15369,11.5,15979,11.9,102838,76.6,6459,4.8,7325,5.5,66359,49.5,54640,40.7,47109,35.1,22377,16.7,7785,5.8,2275,1.7,118684,88.4,8925,6.7,2190,1.6,4387,3.3
"Tonbridge and Malling",120805,100.0,7579,6.3,10367,8.6,102859,85.1,2948,2.4,4607,3.8,67839,56.2,60306,49.9,41475,34.3,14263,11.8,3728,3.1,1033,0.9,108724,90.0,8258,6.8,1321,1.1,2502,2.1
"Tunbridge Wells",115049,100.0,6972,6.1,9399,8.2,98678,85.8,2726,2.4,4298,3.7,65384,56.8,59156,51.4,38656,33.6,12788,11.1,3550,3.1,899,0.8,104510,90.8,7527,6.5,1112,1.0,1900,1.7
"Cherwell",141868,100.0,8698,6.1,11374,8.0,121796,85.9,3405,2.4,5561,3.9,82757,58.3,71403,50.3,49163,34.7,15844,11.2,4261,3.0,1197,0.8,128514,90.6,9216,6.5,1452,1.0,2686,1.9
"Oxford",151906,100.0,8139,5.4,10712,7.1,133055,87.6,3724,2.5,6017,4.0,100344,66.1,83904,55.2,48201,31.7,14320,9.4,4189,2.8,1292,0.9,140181,92.3,8159,5.4,1468,1.0,2098,1.4
"South Oxfordshire",134257,100.0,7541,5.6,10959,8.2,115757,86.2,2463,1.8,4685,3.5,76704,57.1,70571,52.6,44779,33.4,14409,10.7,3517,2.6,981,0.7,121001,90.1,9817,7.3,1250,0.9,2189,1.6
"Vale of White Horse",120988,100.0,7041,5.8,10143,8.4,103804,85.8,2378,2.0,4248,3.5,69480,57.4,62738,51.9,41117,34.0,13063,10.8,3163,2.6,907,0.7,108550,89.7,9035,7.5,1183,1.0,2220,1.8
"West Oxfordshire",104779,100.0,6208,5.9,8941,8.5,89630,85.5,1970,1.9,3799,3.6,60281,57.5,53984,51.5,35438,33.8,11685,11.2,2942,2.8,730,0.7,94421,90.1,7540,7.2,1050,1.0,1768,1.7
"Elmbridge",130875,100.0,6697,5.1,9134,7.0,115044,87.9,2187,1.7,3787,2.9,75513,57.7,73880,56.5,40555,31.0,12360,9.4,3213,2.5,867,0.7,119244,91.1,8653,6.6,1100,0.8,1878,1.4
"Epsom and Ewell",75102,100.0,4198,5.6,5868,7.8,65036,86.6,1566,2.1,2538,3.4,43692,58.2,39208,52.2,25355,33.8,7988,10.6,2016,2.7,535,0.7,67774,90.2,5294,7.0,818,1.1,1216,1.6
"Guildford",137183,100.0,7096,5.2,10220,7.4,119867,87.4,2629,1.9,4673,3.4,83894,61.2,73969,53.9,45445,33.1,13442,9.8,3402,2.5,925,0.7,124607,90.8,9250,6.7,1215,0.9,2111,1.5
"Mole Valley",85375,100.0,5213,6.1,7329,8.6,72833,85.3,1709,2.0,2902,3.4,47295,55.4,43926,51.5,28801,33.7,9607,11.3,2437,2.9,604,0.7,76464,89.6,6731,7.9,770,0.9,1410,1.7
"Reigate and Banstead",137835,100.0,8418,6.1,10848,7.9,118569,86.0,3050,2.2,5003,3.6,79939,58.0,71052,51.5,46908,34.0,14866,10.8,3844,2.8,1165,0.8,124730,90.5,9401,6.8,1423,1.0,2281,1.7
"Runnymede",80510,100.0,4737,5.9,6418,8.0,69355,86.1,1603,2.0,2812,3.5,48770,60.6,41319,51.3,27451,34.1,8767,10.9,2371,2.9,602,0.7,73108,90.8,5208,6.5,811,1.0,1383,1.7
"Spelthorne",95598,100.0,6139,6.4,8125,8.5,81334,85.1,2217,2.3,3593,3.8,55599,58.2,45929,48.0,34239,35.8,11509,12.0,3085,3.2,836,0.9,85754,89.7,6701,7.0,1150,1.2,1993,2.1
"Surrey Heath",86144,100.0,4444,5.2,6396,7.4,75304,87.4,1530,1.8,2815,3.3,50552,58.7,46062,53.5,28683,33.3,8613,10.0,2148,2.5,638,0.7,78250,90.8,5748,6.7,823,1.0,1323,1.5
"Tandridge",82998,100.0,5340,6.4,6972,8.4,70686,85.2,1939,2.3,2965,3.6,46663,56.2,41916,50.5,28514,34.4,9450,11.4,2403,2.9,715,0.9,74463,89.7,6241,7.5,852,1.0,1442,1.7
"Waverley",121572,100.0,6984,5.7,9893,8.1,104695,86.1,2236,1.8,3944,3.2,67476,55.5,65068,53.5,39777,32.7,12768,10.5,3078,2.5,881,0.7,109567,90.1,9031,7.4,1104,0.9,1870,1.5
"Woking",99198,100.0,5486,5.5,7399,7.5,86313,87.0,2112,2.1,3496,3.5,58734,59.2,51360,51.8,34291,34.6,10184,10.3,2602,2.6,761,0.8,89996,90.7,6662,6.7,973,1.0,1567,1.6
