"local authority: district / unitary (prior to April 2015)","All usual residents aged 16 to 74 in employment the week before the census","%","Part-time: 15 hours or less worked","%","Part-time: 16 to 30 hours worked","%","Full-time: 31 to 48 hours worked","%","Full-time: 49 or more hours worked","%","Males: Total","%","Males: Part-time: 15 hours or less worked","%","Males: Part-time: 16 to 30 hours worked","%","Males: Full-time: 31 to 48 hours worked","%","Males: Full-time: 49 or more hours worked","%","Females: Total","%","Females: Part-time: 15 hours or less worked","%","Females: Part-time: 16 to 30 hours worked","%","Females: Full-time: 31 to 48 hours worked","%","Females: Full-time: 49 or more hours worked","%"
"Test Valley",59611,100.0,6209,10.4,10735,18.0,33465,56.1,9202,15.4,31602,53.0,1720,2.9,2282,3.8,20332,34.1,7268,12.2,28009,47.0,4489,7.5,8453,14.2,13133,22.0,1934,3.2
"Winchester",57318,100.0,7309,12.8,10491,18.3,29583,51.6,9935,17.3,30063,52.4,2086,3.6,2505,4.4,17899,31.2,7573,13.2,27255,47.6,5223,9.1,7986,13.9,11684,20.4,2362,4.1
"Ashford",57546,100.0,5919,10.3,10992,19.1,31824,55.3,8811,15.3,30334,52.7,1698,3.0,2518,4.4,19198,33.4,6920,12.0,27212,47.3,4221,7.3,8474,14.7,12626,21.9,1891,3.3
"Canterbury",65620,100.0,8958,13.7,13676,20.8,33519,51.1,9467,14.4,33751,51.4,3027,4.6,3670,5.6,19947,30.4,7107,10.8,31869,48.6,5931,9.0,10006,15.2,13572,20.7,2360,3.6
"Dartford",49611,100.0,4205,8.5,8482,17.1,30301,61.1,6623,13.3,26308,53.0,1163,2.3,1944,3.9,17972,36.2,5229,10.5,23303,47.0,3042,6.1,6538,13.2,12329,24.9,1394,2.8
"Dover",50396,100.0,5025,10.0,10544,20.9,27821,55.2,7006,13.9,26602,52.8,1529,3.0,2744,5.4,16906,33.5,5423,10.8,23794,47.2,3496,6.9,7800,15.5,10915,21.7,1583,3.1
"Gravesham",47639,100.0,4559,9.6,9097,19.1,27296,57.3,6687,14.0,25589,53.7,1249,2.6,2167,4.5,16819,35.3,5354,11.2,22050,46.3,3310,6.9,6930,14.5,10477,22.0,1333,2.8
"Maidstone",78090,100.0,7706,9.9,14279,18.3,43789,56.1,12316,15.8,41797,53.5,2214,2.8,3312,4.2,26514,34.0,9757,12.5,36293,46.5,5492,7.0,10967,14.0,17275,22.1,2559,3.3
"Sevenoaks",56015,100.0,6150,11.0,10174,18.2,29704,53.0,9987,17.8,29941,53.5,1590,2.8,2456,4.4,18009,32.2,7886,14.1,26074,46.5,4560,8.1,7718,13.8,11695,20.9,2101,3.8
"Shepway",48280,100.0,4864,10.1,10016,20.7,26520,54.9,6880,14.3,25704,53.2,1527,3.2,2557,5.3,16177,33.5,5443,11.3,22576,46.8,3337,6.9,7459,15.4,10343,21.4,1437,3.0
"Swale",62810,100.0,6010,9.6,11778,18.8,35441,56.4,9581,15.3,33604,53.5,1571,2.5,2681,4.3,21632,34.4,7720,12.3,29206,46.5,4439,7.1,9097,14.5,13809,22.0,1861,3.0
